comment_id,text,text_clean,text_filtered,tokens
294,Or searching google on bing,or searching google on bing,searching google bing,"['searching', 'google', 'bing']"
295,Siri is too stupid to understand the pun,siri is too stupid to understand the pun,siri stupid understand pun,"['siri', 'stupid', 'understand', 'pun']"
296,"do anyone know how backtap works ? from an engineering point of view, because i can't seem to get how it works since there is no sensors at the back, uses gyroscope maybe ?",do anyone know how backtap works from an engineering point of view because i can t seem to get how it works since there is no sensors at the back uses gyroscope maybe,anyone know backtap works engineering point view seem get works since sensors back uses gyroscope maybe,"['anyone', 'know', 'backtap', 'works', 'engineering', 'point', 'view', 'seem', 'get', 'works', 'since', 'sensors', 'back', 'uses', 'gyroscope', 'maybe']"
297,​ @issambernannou8879  I've just analised all the sencors from my phone when tapping the back. the one that gave the most clear taps was the accelerometer. that's how id guess its doing it.,i ve just analised all the sencors from my phone when tapping the back the one that gave the most clear taps was the accelerometer that s how id guess its doing it,analised sencors phone tapping back one gave clear taps accelerometer id guess,"['analised', 'sencors', 'phone', 'tapping', 'back', 'one', 'gave', 'clear', 'taps', 'accelerometer', 'id', 'guess']"
298,bro that's classic🤣😂🙆‍♀️,bro that s classic,bro classic,"['bro', 'classic']"
299,Best comment here,best comment here,best comment,"['best', 'comment']"
300,If y’all argue with me I probs won’t reply Bc I have better stuff to do ( I also might not get the notif if at one point I feel low enough to argue :P),if yall argue with me i probs wont reply bc i have better stuff to do i also might not get the notif if at one point i feel low enough to argue p,yall argue probs wont reply bc better stuff also might get notif one point feel low enough argue,"['yall', 'argue', 'probs', 'wont', 'reply', 'bc', 'better', 'stuff', 'also', 'might', 'get', 'notif', 'one', 'point', 'feel', 'low', 'enough', 'argue']"
301,Lol,lol,lol,['lol']
302,The disrespect 🤣,the disrespect,disrespect,['disrespect']
303,IM WHEEZING😂😂LEGIT IM DEAD,im wheezinglegit im dead,im wheezinglegit im dead,"['im', 'wheezinglegit', 'im', 'dead']"
304,"Actually  its calling Pizza Hut  to ask for Domino's number 

Like using IE to download  Chrome",actually its calling pizza hut to ask for domino s number like using ie to download chrome,actually calling pizza hut ask domino number like using ie download chrome,"['actually', 'calling', 'pizza', 'hut', 'ask', 'domino', 'number', 'like', 'using', 'ie', 'download', 'chrome']"
305,Anubhav Trivedi thank you for ruining the simple expression.,anubhav trivedi thank you for ruining the simple expression,anubhav trivedi thank ruining simple expression,"['anubhav', 'trivedi', 'thank', 'ruining', 'simple', 'expression']"
306,Anubhav Trivedi other way around,anubhav trivedi other way around,anubhav trivedi way around,"['anubhav', 'trivedi', 'way', 'around']"
307,Anubhav Trivedi you literally said the same thing just reversed,anubhav trivedi you literally said the same thing just reversed,anubhav trivedi literally said thing reversed,"['anubhav', 'trivedi', 'literally', 'said', 'thing', 'reversed']"
308,using internet explorer to download chrome,using internet explorer to download chrome,using internet explorer download chrome,"['using', 'internet', 'explorer', 'download', 'chrome']"
309,Vice versa,vice versa,vice versa,"['vice', 'versa']"
310,"I used to use voice recognition for everything, but since switching from android to iPhone 11 I don’t use it at all because Siri is so terrible.",i used to use voice recognition for everything but since switching from android to iphone i dont use it at all because siri is so terrible,used use voice recognition everything since switching android iphone dont use siri terrible,"['used', 'use', 'voice', 'recognition', 'everything', 'since', 'switching', 'android', 'iphone', 'dont', 'use', 'siri', 'terrible']"
311,"Yes. He is right in his own way. Siri is the most loved but in India, the problem is , Siri doesn’t understand Indian accent much. G assistant is better in that department.",yes he is right in his own way siri is the most loved but in india the problem is siri doesnt understand indian accent much g assistant is better in that department,yes right way siri loved india problem siri doesnt understand indian accent much assistant better department,"['yes', 'right', 'way', 'siri', 'loved', 'india', 'problem', 'siri', 'doesnt', 'understand', 'indian', 'accent', 'much', 'assistant', 'better', 'department']"
312,Its also like searching for Google on Bing,its also like searching for google on bing,also like searching google bing,"['also', 'like', 'searching', 'google', 'bing']"
313,no one outpizzas The Hut™️,no one outpizzas the hut,one outpizzas hut,"['one', 'outpizzas', 'hut']"
314,No it’s not because dominos isn’t an information providing function,no its not because dominos isnt an information providing function,dominos isnt information providing function,"['dominos', 'isnt', 'information', 'providing', 'function']"
315,it's like using a mac to game.. (no offense to everyone who uses a mac to game i'm a big apple fan but don't use a mac to game please don't kill me thank bye),it s like using a mac to game no offense to everyone who uses a mac to game i m a big apple fan but don t use a mac to game please don t kill me thank bye,like using mac game offense everyone uses mac game big apple fan use mac game please kill thank bye,"['like', 'using', 'mac', 'game', 'offense', 'everyone', 'uses', 'mac', 'game', 'big', 'apple', 'fan', 'use', 'mac', 'game', 'please', 'kill', 'thank', 'bye']"
316," @naaya9222  
💯 agreed. But that’s for Mac Book. 
Mac book is not meant for gaming. No doubt about that. However, I Mac is really good for gaming. I am not saying that it’s best in the business, but it’s not bad either. Mac book serves the purpose of official as well as school use really well. While I Mac can be used for some good gaming also.",agreed but thats for mac book mac book is not meant for gaming no doubt about that however i mac is really good for gaming i am not saying that its best in the business but its not bad either mac book serves the purpose of official as well as school use really well while i mac can be used for some good gaming also,agreed thats mac book mac book meant gaming doubt however mac really good gaming saying best business bad either mac book serves purpose official well school use really well mac used good gaming also,"['agreed', 'thats', 'mac', 'book', 'mac', 'book', 'meant', 'gaming', 'doubt', 'however', 'mac', 'really', 'good', 'gaming', 'saying', 'best', 'business', 'bad', 'either', 'mac', 'book', 'serves', 'purpose', 'official', 'well', 'school', 'use', 'really', 'well', 'mac', 'used', 'good', 'gaming', 'also']"
317,"Siri is mother of all the other assistants, Siri introduced virtual assistants to smartphones just like Apple introduced smartphones itself, even if it’s not on par today with Google Assistant/Alexa, Siri is still a decent assistant, I use it all the time, my HomePod is a very good example (since I don’t rarely use any assistants on my phone) sometimes Siri in the HomePod finds the song just by telling her the lyrics, while my Google Home nest and Echo Show don’t. Also Siri is always connected with me so she’s (subjective gender) more accessible and convenient to me since she travels throughout my all of my devices, whether it be desktop, notebooks, mobiles, tablets, watches, smart homes and even my headphones whilst Google Assistant is a bit limited, and Alexa is even more restricted",siri is mother of all the other assistants siri introduced virtual assistants to smartphones just like apple introduced smartphones itself even if its not on par today with google assistant alexa siri is still a decent assistant i use it all the time my homepod is a very good example since i dont rarely use any assistants on my phone sometimes siri in the homepod finds the song just by telling her the lyrics while my google home nest and echo show dont also siri is always connected with me so shes subjective gender more accessible and convenient to me since she travels throughout my all of my devices whether it be desktop notebooks mobiles tablets watches smart homes and even my headphones whilst google assistant is a bit limited and alexa is even more restricted,siri mother assistants siri introduced virtual assistants smartphones like apple introduced smartphones even today google assistant alexa siri still decent assistant use time homepod good example since dont rarely use assistants phone sometimes siri homepod finds song telling lyrics google home nest echo show dont also siri always connected shes subjective gender accessible convenient since travels throughout devices whether desktop notebooks mobiles tablets watches smart homes even headphones whilst google assistant bit limited alexa even restricted,"['siri', 'mother', 'assistants', 'siri', 'introduced', 'virtual', 'assistants', 'smartphones', 'like', 'apple', 'introduced', 'smartphones', 'even', 'today', 'google', 'assistant', 'alexa', 'siri', 'still', 'decent', 'assistant', 'use', 'time', 'homepod', 'good', 'example', 'since', 'dont', 'rarely', 'use', 'assistants', 'phone', 'sometimes', 'siri', 'homepod', 'finds', 'song', 'telling', 'lyrics', 'google', 'home', 'nest', 'echo', 'show', 'dont', 'also', 'siri', 'always', 'connected', 'shes', 'subjective', 'gender', 'accessible', 'convenient', 'since', 'travels', 'throughout', 'devices', 'whether', 'desktop', 'notebooks', 'mobiles', 'tablets', 'watches', 'smart', 'homes', 'even', 'headphones', 'whilst', 'google', 'assistant', 'bit', 'limited', 'alexa', 'even', 'restricted']"
318,well sh-,well sh,well sh,"['well', 'sh']"
319,shh,shh,shh,['shh']
320,IKR! total game changer! no more being paranoid of someone hacking your camera and mic!,ikr total game changer no more being paranoid of someone hacking your camera and mic,ikr total game changer paranoid someone hacking camera mic,"['ikr', 'total', 'game', 'changer', 'paranoid', 'someone', 'hacking', 'camera', 'mic']"
321,Android definitely needs to copy this,android definitely needs to copy this,android definitely needs copy,"['android', 'definitely', 'needs', 'copy']"
322, @pranavflame  MIUI 12 launched with this feature a few months ago lol,miui launched with this feature a few months ago lol,miui launched feature months ago lol,"['miui', 'launched', 'feature', 'months', 'ago', 'lol']"
323," @pranavflame  already there in Android 10, it show little camera icon in notification bar next to WiFi icon.. I don't know if this is available to all phone or just me using SuperiorOS",already there in android it show little camera icon in notification bar next to wifi icon i don t know if this is available to all phone or just me using superioros,already android show little camera icon notification bar next wifi icon know available phone using superioros,"['already', 'android', 'show', 'little', 'camera', 'icon', 'notification', 'bar', 'next', 'wifi', 'icon', 'know', 'available', 'phone', 'using', 'superioros']"
324,"I did give some feedback to Apple that I think on OLED screens, it should appear even when the screen is off because the dot only appears when the screen is on.",i did give some feedback to apple that i think on oled screens it should appear even when the screen is off because the dot only appears when the screen is on,give feedback apple think oled screens appear even screen dot appears screen,"['give', 'feedback', 'apple', 'think', 'oled', 'screens', 'appear', 'even', 'screen', 'dot', 'appears', 'screen']"
325,@Ill Bag Maybe but after it has been activated a message appears on control center for a moment explaining what the dot means.,bag maybe but after it has been activated a message appears on control center for a moment explaining what the dot means,bag maybe activated message appears control center moment explaining dot means,"['bag', 'maybe', 'activated', 'message', 'appears', 'control', 'center', 'moment', 'explaining', 'dot', 'means']"
326,"Won’t stop anyone, especially the government from being able to use it without your knowledge",wont stop anyone especially the government from being able to use it without your knowledge,wont stop anyone especially government able use without knowledge,"['wont', 'stop', 'anyone', 'especially', 'government', 'able', 'use', 'without', 'knowledge']"
327,Shortfuse Industries it more of a hardware and software feature if you hack the software the hardware will activated thus the light will appear you can’t use one without the other so you are safe,shortfuse industries it more of a hardware and software feature if you hack the software the hardware will activated thus the light will appear you cant use one without the other so you are safe,shortfuse industries hardware software feature hack software hardware activated thus light appear cant use one without safe,"['shortfuse', 'industries', 'hardware', 'software', 'feature', 'hack', 'software', 'hardware', 'activated', 'thus', 'light', 'appear', 'cant', 'use', 'one', 'without', 'safe']"
328,Was absolutely not expecting that,was absolutely not expecting that,absolutely expecting,"['absolutely', 'expecting']"
329, @mauro_o_cesar  I've had it for about 7 years but maybe that's because it's an android,i ve had it for about years but maybe that s because it s an android,years maybe android,"['years', 'maybe', 'android']"
330,How do you get it,how do you get it,get,['get']
331," @Moe-xp3dm It's in dev beta rn, so you can find it somewhere, but the official public beta comes out in july",xp dm it s in dev beta rn so you can find it somewhere but the official public beta comes out in july,xp dm dev beta rn find somewhere official public beta comes july,"['xp', 'dm', 'dev', 'beta', 'rn', 'find', 'somewhere', 'official', 'public', 'beta', 'comes', 'july']"
332,Grant you can push the off button twice to decline a call,grant you can push the off button twice to decline a call,grant push button twice decline call,"['grant', 'push', 'button', 'twice', 'decline', 'call']"
333,Luke Dolley thank you finally somebody that actually knows that that is a thing,luke dolley thank you finally somebody that actually knows that that is a thing,luke dolley thank finally somebody actually knows thing,"['luke', 'dolley', 'thank', 'finally', 'somebody', 'actually', 'knows', 'thing']"
334, @lukedolley742  It's good when u don't want to decline a call but still don't wanna pick up,it s good when u don t want to decline a call but still don t wanna pick up,good want decline call still wan pick,"['good', 'want', 'decline', 'call', 'still', 'wan', 'pick']"
335,I think you have no clue... you've been able to do that for a while now...,i think you have no clue you ve been able to do that for a while now,think clue able,"['think', 'clue', 'able']"
336,with this update I think their phones will still ring even after you removed it off your screen,with this update i think their phones will still ring even after you removed it off your screen,update think phones still ring even removed screen,"['update', 'think', 'phones', 'still', 'ring', 'even', 'removed', 'screen']"
337,I've been doing that for years. You're the one who had no clue.,i ve been doing that for years you re the one who had no clue,years one clue,"['years', 'one', 'clue']"
338,You can't just go home to ignore the call?,you can t just go home to ignore the call,go home ignore call,"['go', 'home', 'ignore', 'call']"
339,Life changing indeed,life changing indeed,life changing indeed,"['life', 'changing', 'indeed']"
340,Wow after 100 years congrats... fhe innovative,wow after years congrats fhe innovative,wow years congrats fhe innovative,"['wow', 'years', 'congrats', 'fhe', 'innovative']"
341,The awquardness of waiting because if u rush and decline and they would know ur there so un just wait always hurts,the awquardness of waiting because if u rush and decline and they would know ur there so un just wait always hurts,awquardness waiting rush decline would know ur wait always hurts,"['awquardness', 'waiting', 'rush', 'decline', 'would', 'know', 'ur', 'wait', 'always', 'hurts']"
342,It was still possible with single / double tapping lock button,it was still possible with single double tapping lock button,still possible single double tapping lock button,"['still', 'possible', 'single', 'double', 'tapping', 'lock', 'button']"
343,I do cuz I have an android,i do cuz i have an android,cuz android,"['cuz', 'android']"
344, @drag0n658  ok,ok,ok,['ok']
345,Apple 10 years later: now u can put widgets in the middle.,apple years later now u can put widgets in the middle,apple years later put widgets middle,"['apple', 'years', 'later', 'put', 'widgets', 'middle']"
346,"Siri: ""What is my purpose""
Marques: ""You open Google Assistant"" 
Siri: ""Identity crisis""",siri what is my purpose marques you open google assistant siri identity crisis,siri purpose marques open google assistant siri identity crisis,"['siri', 'purpose', 'marques', 'open', 'google', 'assistant', 'siri', 'identity', 'crisis']"
347,Its uncanny how many of these UI improvements were wildly popular in the Jailbreak circles for years now,its uncanny how many of these ui improvements were wildly popular in the jailbreak circles for years now,uncanny many ui improvements wildly popular jailbreak circles years,"['uncanny', 'many', 'ui', 'improvements', 'wildly', 'popular', 'jailbreak', 'circles', 'years']"
348,"it’s definitely prayer hands cus it’s lined up. when u give ppl a high five, it’s usually w the same hand but ya just oppiste frm each other",its definitely prayer hands cus its lined up when u give ppl a high five its usually w the same hand but ya just oppiste frm each other,definitely prayer hands cus lined give ppl high five usually hand ya oppiste frm,"['definitely', 'prayer', 'hands', 'cus', 'lined', 'give', 'ppl', 'high', 'five', 'usually', 'hand', 'ya', 'oppiste', 'frm']"
349,"apple: adds watching youtube on small screen
yt premium: say sike right now",apple adds watching youtube on small screen yt premium say sike right now,apple adds watching youtube small screen yt premium say sike right,"['apple', 'adds', 'watching', 'youtube', 'small', 'screen', 'yt', 'premium', 'say', 'sike', 'right']"
350,"I’m still most excited about phone calls being out of the way, lol.",im still most excited about phone calls being out of the way lol,im still excited phone calls way lol,"['im', 'still', 'excited', 'phone', 'calls', 'way', 'lol']"
351,"Apple: Adds green and orange light to tell when the camera/mic is being used
The Government: Our plans are ruined",apple adds green and orange light to tell when the camera mic is being used the government our plans are ruined,apple adds green orange light tell camera mic used government plans ruined,"['apple', 'adds', 'green', 'orange', 'light', 'tell', 'camera', 'mic', 'used', 'government', 'plans', 'ruined']"
352,I hate how I can’t watch YouTube videos and have it still on my screen it always goes away still.,i hate how i cant watch youtube videos and have it still on my screen it always goes away still,hate cant watch youtube videos still screen always goes away still,"['hate', 'cant', 'watch', 'youtube', 'videos', 'still', 'screen', 'always', 'goes', 'away', 'still']"
353,The quality of Marques’ videos is just out of this world,the quality of marques videos is just out of this world,quality marques videos world,"['quality', 'marques', 'videos', 'world']"
354,Marques: “I’ve had this beta for about a day now” - stares at the screen having expected he’d say at least a month,marques ive had this beta for about a day now stares at the screen having expected hed say at least a month,marques ive beta day stares screen expected hed say least month,"['marques', 'ive', 'beta', 'day', 'stares', 'screen', 'expected', 'hed', 'say', 'least', 'month']"
355,"7:47 ""Finally""

This reaction is gold man",finally this reaction is gold man,finally reaction gold man,"['finally', 'reaction', 'gold', 'man']"
356,First time in apple history when i’m actually excited about an ios update,first time in apple history when im actually excited about an ios update,first time apple history im actually excited ios update,"['first', 'time', 'apple', 'history', 'im', 'actually', 'excited', 'ios', 'update']"
357,Prayer hands. The cuffs would be a different color if it was a high five.,prayer hands the cuffs would be a different color if it was a high five,prayer hands cuffs would different color high five,"['prayer', 'hands', 'cuffs', 'would', 'different', 'color', 'high', 'five']"
358,"actually the widgets are: windows phone live tiles, ios version",actually the widgets are windows phone live tiles ios version,actually widgets windows phone live tiles ios version,"['actually', 'widgets', 'windows', 'phone', 'live', 'tiles', 'ios', 'version']"
359,The whole shortcut thing everyone is doing isn’t even knew from the update. I don’t get why everyone is so excited about that,the whole shortcut thing everyone is doing isnt even knew from the update i dont get why everyone is so excited about that,whole shortcut thing everyone isnt even knew update dont get everyone excited,"['whole', 'shortcut', 'thing', 'everyone', 'isnt', 'even', 'knew', 'update', 'dont', 'get', 'everyone', 'excited']"
360,My favourite “feature” is that incoming calls don’t take my phone hostage anymore.,my favourite feature is that incoming calls dont take my phone hostage anymore,favourite feature incoming calls dont take phone hostage anymore,"['favourite', 'feature', 'incoming', 'calls', 'dont', 'take', 'phone', 'hostage', 'anymore']"
361,Fun fact: iOS has had emoji search on the the Japanese version since the beginning of Apple emoji.,fun fact ios has had emoji search on the the japanese version since the beginning of apple emoji,fun fact ios emoji search japanese version since beginning apple emoji,"['fun', 'fact', 'ios', 'emoji', 'search', 'japanese', 'version', 'since', 'beginning', 'apple', 'emoji']"
362,"For all the FaceTiming people who like to pause, y’all better enjoy now! 😂",for all the facetiming people who like to pause yall better enjoy now,facetiming people like pause yall better enjoy,"['facetiming', 'people', 'like', 'pause', 'yall', 'better', 'enjoy']"
363,5:31 me angrily trying to do that with Netflix for a solid three minutes:😳,me angrily trying to do that with netflix for a solid three minutes,angrily trying netflix solid three minutes,"['angrily', 'trying', 'netflix', 'solid', 'three', 'minutes']"
364,"5:59 
I love how that basically completely removed the use for YouTube premium",i love how that basically completely removed the use for youtube premium,love basically completely removed use youtube premium,"['love', 'basically', 'completely', 'removed', 'use', 'youtube', 'premium']"
365,"@Subhash Rawat actually 3 years... Only custom skinned are 2years (except oneplus, they give 3years update)",rawat actually years only custom skinned are years except oneplus they give years update,rawat actually years custom skinned years except oneplus give years update,"['rawat', 'actually', 'years', 'custom', 'skinned', 'years', 'except', 'oneplus', 'give', 'years', 'update']"
366,"Hope at least there will be top notch quality, design wise. When I had an Android , they were fugly and with a style that does not match with the OS, that I didn’t used for that reason.",hope at least there will be top notch quality design wise when i had an android they were fugly and with a style that does not match with the os that i didnt used for that reason,hope least top notch quality design wise android fugly style match didnt used reason,"['hope', 'least', 'top', 'notch', 'quality', 'design', 'wise', 'android', 'fugly', 'style', 'match', 'didnt', 'used', 'reason']"
367," @3cani  iPhone fugly shape and fugly display is the reason i don't buy iPhones, they charge premium for a mid-range phone quality.",iphone fugly shape and fugly display is the reason i don t buy iphones they charge premium for a mid range phone quality,iphone fugly shape fugly display reason buy iphones charge premium mid range phone quality,"['iphone', 'fugly', 'shape', 'fugly', 'display', 'reason', 'buy', 'iphones', 'charge', 'premium', 'mid', 'range', 'phone', 'quality']"
368,@Subhash Rawat The thing is that most people will replace or upgade their phone after 2 or 3 years anyway. Android are also way more affordable then iphone so they can experience new tech without worrying about money instead of sticking to only one phone for 5+ year,rawat the thing is that most people will replace or upgade their phone after or years anyway android are also way more affordable then iphone so they can experience new tech without worrying about money instead of sticking to only one phone for year,rawat thing people replace upgade phone years anyway android also way affordable iphone experience new tech without worrying money instead sticking one phone year,"['rawat', 'thing', 'people', 'replace', 'upgade', 'phone', 'years', 'anyway', 'android', 'also', 'way', 'affordable', 'iphone', 'experience', 'new', 'tech', 'without', 'worrying', 'money', 'instead', 'sticking', 'one', 'phone', 'year']"
369,@Subhash Rawat😑,rawat,rawat,['rawat']
370,Bose Is he wrong?,bose is he wrong,bose wrong,"['bose', 'wrong']"
371,@Subhash Rawat and that's how long phone plans are plus are updates actually improve are phone not kill it,rawat and that s how long phone plans are plus are updates actually improve are phone not kill it,rawat long phone plans plus updates actually improve phone kill,"['rawat', 'long', 'phone', 'plans', 'plus', 'updates', 'actually', 'improve', 'phone', 'kill']"
372,LMAOOOOO I laughed too hard at this,lmaooooo i laughed too hard at this,lmaooooo laughed hard,"['lmaooooo', 'laughed', 'hard']"
373,Meanwhile Android has this feature on their first touchscreen android phone...,meanwhile android has this feature on their first touchscreen android phone,meanwhile android feature first touchscreen android phone,"['meanwhile', 'android', 'feature', 'first', 'touchscreen', 'android', 'phone']"
374,20 years later: always on display in Iphones,years later always on display in iphones,years later always display iphones,"['years', 'later', 'always', 'display', 'iphones']"
375,Pio Bu 50 years later: hey guys you can now use Touch ID on the display! Totally like it didn’t take 53 more years than Android 😉😏,pio bu years later hey guys you can now use touch id on the display totally like it didnt take more years than android,pio bu years later hey guys use touch id display totally like didnt take years android,"['pio', 'bu', 'years', 'later', 'hey', 'guys', 'use', 'touch', 'id', 'display', 'totally', 'like', 'didnt', 'take', 'years', 'android']"
376,1st world problems,st world problems,st world problems,"['st', 'world', 'problems']"
377,better late than never ig lol,better late than never ig lol,better late never ig lol,"['better', 'late', 'never', 'ig', 'lol']"
378,apple users 10 years later:   :O,apple users years later o,apple users years later,"['apple', 'users', 'years', 'later']"
379,Just get the hands on swift u will get the problems why they are late and why they perform the tasks with perfection,just get the hands on swift u will get the problems why they are late and why they perform the tasks with perfection,get hands swift get problems late perform tasks perfection,"['get', 'hands', 'swift', 'get', 'problems', 'late', 'perform', 'tasks', 'perfection']"
380,Least the widgets wont crash your push android crap,least the widgets wont crash your push android crap,least widgets wont crash push android crap,"['least', 'widgets', 'wont', 'crash', 'push', 'android', 'crap']"
381,Si Pearson at least your photos don’t capture nearly as much light as android,si pearson at least your photos dont capture nearly as much light as android,si pearson least photos dont capture nearly much light android,"['si', 'pearson', 'least', 'photos', 'dont', 'capture', 'nearly', 'much', 'light', 'android']"
382,And with 34 cameras,and with cameras,cameras,['cameras']
383,Imagine thinking your phone is superior to other people’s phones because you can place apps anywhere,imagine thinking your phone is superior to other peoples phones because you can place apps anywhere,imagine thinking phone superior peoples phones place apps anywhere,"['imagine', 'thinking', 'phone', 'superior', 'peoples', 'phones', 'place', 'apps', 'anywhere']"
384,More like now u can add widgets to homescreen on ipad 🙄,more like now u can add widgets to homescreen on ipad,like add widgets homescreen ipad,"['like', 'add', 'widgets', 'homescreen', 'ipad']"
385,God I hope not,god i hope not,god hope,"['god', 'hope']"
386,Lol yeah🤣,lol yeah,lol yeah,"['lol', 'yeah']"
387,"I am
An iPhone user and I approve this comment 😐",i am an iphone user and i approve this comment,iphone user approve comment,"['iphone', 'user', 'approve', 'comment']"
388,the fact iphone users have never been able to use widget is fcking hilarious,the fact iphone users have never been able to use widget is fcking hilarious,fact iphone users never able use widget fcking hilarious,"['fact', 'iphone', 'users', 'never', 'able', 'use', 'widget', 'fcking', 'hilarious']"
389,What about iPad,what about ipad,ipad,['ipad']
390, @nitinvarma4763  probably need to wait another 20 years 🙁,probably need to wait another years,probably need wait another years,"['probably', 'need', 'wait', 'another', 'years']"
391,"i mean.. is placing widgets in the middle that important? if it is, they could easily add that feature in ios 14.1 or something",i mean is placing widgets in the middle that important if it is they could easily add that feature in ios or something,mean placing widgets middle important could easily add feature ios something,"['mean', 'placing', 'widgets', 'middle', 'important', 'could', 'easily', 'add', 'feature', 'ios', 'something']"
392," @n1kmin  if you can change your wallpaper then yes, it's very important, apple not gonna add something that easily without getting sued or buy the code. They have to find another way to avoid the law suit",if you can change your wallpaper then yes it s very important apple not gonna add something that easily without getting sued or buy the code they have to find another way to avoid the law suit,change wallpaper yes important apple gon add something easily without getting sued buy code find another way avoid law suit,"['change', 'wallpaper', 'yes', 'important', 'apple', 'gon', 'add', 'something', 'easily', 'without', 'getting', 'sued', 'buy', 'code', 'find', 'another', 'way', 'avoid', 'law', 'suit']"
393,"This blew up I see

Well yeah, honestly getting the features without having to jailbreak is always better. My days of “must.jailbreak” or “must.root.flash.custom” days are long behind me, both my iPhone and Androids stay stock",this blew up i see well yeah honestly getting the features without having to jailbreak is always better my days of must jailbreak or must root flash custom days are long behind me both my iphone and androids stay stock,blew see well yeah honestly getting features without jailbreak always better days must jailbreak must root flash custom days long behind iphone androids stay stock,"['blew', 'see', 'well', 'yeah', 'honestly', 'getting', 'features', 'without', 'jailbreak', 'always', 'better', 'days', 'must', 'jailbreak', 'must', 'root', 'flash', 'custom', 'days', 'long', 'behind', 'iphone', 'androids', 'stay', 'stock']"
394,i feel like tim cook secretly jailbreaks his phone,i feel like tim cook secretly jailbreaks his phone,feel like tim cook secretly jailbreaks phone,"['feel', 'like', 'tim', 'cook', 'secretly', 'jailbreaks', 'phone']"
395,i loved my old jailbreaks but i stopped because it really isn’t fun anymore due to the fact that its all in normal ios and if i have a jailbreak feature miraculously 3 months later all the normies have the tweak/feature,i loved my old jailbreaks but i stopped because it really isnt fun anymore due to the fact that its all in normal ios and if i have a jailbreak feature miraculously months later all the normies have the tweak feature,loved old jailbreaks stopped really isnt fun anymore due fact normal ios jailbreak feature miraculously months later normies tweak feature,"['loved', 'old', 'jailbreaks', 'stopped', 'really', 'isnt', 'fun', 'anymore', 'due', 'fact', 'normal', 'ios', 'jailbreak', 'feature', 'miraculously', 'months', 'later', 'normies', 'tweak', 'feature']"
396,"What I was pointing at was already picked up on: It was weird that the exploit for the two most popular jailbreaks remained unpatched for so long, made me wonder if Apple is using it as market research or not",what i was pointing at was already picked up on it was weird that the exploit for the two most popular jailbreaks remained unpatched for so long made me wonder if apple is using it as market research or not,pointing already picked weird exploit two popular jailbreaks remained unpatched long made wonder apple using market research,"['pointing', 'already', 'picked', 'weird', 'exploit', 'two', 'popular', 'jailbreaks', 'remained', 'unpatched', 'long', 'made', 'wonder', 'apple', 'using', 'market', 'research']"
397,A good company does not wait 8 years.....,a good company does not wait years,good company wait years,"['good', 'company', 'wait', 'years']"
398,Jailbreaking your phone basically makes it like an android,jailbreaking your phone basically makes it like an android,jailbreaking phone basically makes like android,"['jailbreaking', 'phone', 'basically', 'makes', 'like', 'android']"
399,"Mike Hurt not really, obviously there is more adjustments on Android but to do the tweaks in android you can do on jailbroken iOS you need to root the android",mike hurt not really obviously there is more adjustments on android but to do the tweaks in android you can do on jailbroken ios you need to root the android,mike hurt really obviously adjustments android tweaks android jailbroken ios need root android,"['mike', 'hurt', 'really', 'obviously', 'adjustments', 'android', 'tweaks', 'android', 'jailbroken', 'ios', 'need', 'root', 'android']"
400,Exactly. I just made a separate comment about having widgets on my 4S and iPod Touch,exactly i just made a separate comment about having widgets on my s and ipod touch,exactly made separate comment widgets ipod touch,"['exactly', 'made', 'separate', 'comment', 'widgets', 'ipod', 'touch']"
401,"i have a feeling that apple's had the ability to squash all jailbreaking entirely if they wanted to, but they get their best ideas from them so they just pretend to.",i have a feeling that apple s had the ability to squash all jailbreaking entirely if they wanted to but they get their best ideas from them so they just pretend to,feeling apple ability squash jailbreaking entirely wanted get best ideas pretend,"['feeling', 'apple', 'ability', 'squash', 'jailbreaking', 'entirely', 'wanted', 'get', 'best', 'ideas', 'pretend']"
402,aeonjoey yes a trillion dollar company is struggling to come up with ideas lmao the jailbreakers just copied android,aeonjoey yes a trillion dollar company is struggling to come up with ideas lmao the jailbreakers just copied android,aeonjoey yes trillion dollar company struggling come ideas lmao jailbreakers copied android,"['aeonjoey', 'yes', 'trillion', 'dollar', 'company', 'struggling', 'come', 'ideas', 'lmao', 'jailbreakers', 'copied', 'android']"
403,So what? Isn’t it good that to get these features you dont have to jailbreak now.,so what isnt it good that to get these features you dont have to jailbreak now,isnt good get features dont jailbreak,"['isnt', 'good', 'get', 'features', 'dont', 'jailbreak']"
404,"And u can see the same blue sleeve on both the hands, so it's the same person, so it's prayer hands",and u can see the same blue sleeve on both the hands so it s the same person so it s prayer hands,see blue sleeve hands person prayer hands,"['see', 'blue', 'sleeve', 'hands', 'person', 'prayer', 'hands']"
405,Exactly. Who even angles his wrist that way when giving a high five.,exactly who even angles his wrist that way when giving a high five,exactly even angles wrist way giving high five,"['exactly', 'even', 'angles', 'wrist', 'way', 'giving', 'high', 'five']"
406,yea i think they might make it where it doesn’t work with picture in picture and set that as a yt premium thing,yea i think they might make it where it doesnt work with picture in picture and set that as a yt premium thing,yea think might make doesnt work picture picture set yt premium thing,"['yea', 'think', 'might', 'make', 'doesnt', 'work', 'picture', 'picture', 'set', 'yt', 'premium', 'thing']"
